car,price,body,mileage,engV,engType,registration,year,model,drive,purchase_date
Ford,15500,crossover,68,2.5,Gas,yes,2010,Kuga,full,03-01-2000
Mercedes-Benz,20500,sedan,173,1.8,Gas,yes,2011,E-Class,rear,04-01-2000
Mercedes-Benz,35000,other,135,5.5,Petrol,yes,2008,CL 550,rear,05-01-2000
Mercedes-Benz,17800,van,162,1.8,Diesel,yes,2012,B 180,front,06-01-2000
Mercedes-Benz,33000,vagon,91,NA,Other,yes,2013,E-Class,,07-01-2000
Nissan,16600,crossover,83,2,Petrol,yes,2013,X-Trail,full,10-01-2000
Honda,6500,sedan,199,2,Petrol,yes,2003,Accord,front,11-01-2000
Renault,10500,vagon,185,1.5,Diesel,yes,2011,Megane,front,12-01-2000
Mercedes-Benz,21500,sedan,146,1.8,Gas,yes,2012,E-Class,rear,13-01-2000
Mercedes-Benz,22700,sedan,125,2.2,Diesel,yes,2010,E-Class,rear,14-01-2000
Nissan,20447.154,crossover,0,1.2,Petrol,yes,2016,Qashqai,front,17-01-2000
Mercedes-Benz,20400,sedan,190,1.8,Gas,yes,2011,E-Class,rear,18-01-2000
Mercedes-Benz,22500,sedan,164,1.8,Gas,yes,2012,E-Class,rear,19-01-2000
BMW,4700,sedan,200,NA,Petrol,yes,1996,316,rear,20-01-2000
Mercedes-Benz,21500,sedan,159,1.8,Gas,yes,2012,E-Class,rear,21-01-2000
BMW,19999,sedan,290,4.8,Petrol,yes,2006,750,rear,24-01-2000
BMW,129222,sedan,2,5,Petrol,yes,2016,750,full,25-01-2000
Mercedes-Benz,99999,crossover,0,3,Petrol,yes,2016,GLE-Class,full,27-01-2000
Nissan,16600,crossover,83,2,Petrol,yes,2013,X-Trail,full,28-01-2000
BMW,73900,sedan,57,4.4,Petrol,yes,2013,M5,rear,31-01-2000
Land Rover,0,crossover,0,4.4,Diesel,yes,2016,Range Rover,full,01-02-2000
Nissan,26033.553,crossover,0,1.6,Diesel,yes,2016,X-Trail,full,02-02-2000
BMW,104999,crossover,2,3,Diesel,yes,2016,X5,full,03-02-2000
BMW,66500,crossover,1,2,Diesel,yes,2016,X5,full,04-02-2000
BMW,65099,crossover,0,2,Diesel,yes,2016,X5,full,07-02-2000
BMW,23900,crossover,235,3,Diesel,yes,2007,X5,full,08-02-2000
